test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[-0.43388807679191677, -0.3233553838230976, 0.43388807679191715, 0.3233553838230971, -0.013649660353631746, 0.013649660353631738, 0.12418235332245127, -0.12418235332245128]",,
T_max,100,None,QPE,3,57.92448000540808,101.36784000946415,0.0,0.43388807679191677,
T_max,100,None,KQPE,3,57.92448000540808,101.36784000946415,0.0,0.43388807679191677,
T_max,100,None,QMEGS,58,100,2353.2938186530414,"[-2.876592653589793, -2.7165926535897933, -2.152592653589793, -1.859592653589793, -0.43759265358979305, 1.0799073464102067, 1.4879073464102068, 2.5449073464102074]","[0.00370457679787628, 1.5362372697666955, 0.6460192696182896, 1.1645519625871097, 2.7029429932361615, 2.890242313943425, 2.4207249930877563, 2.0284103002673417]",
T_max,100,None,TSRHSE,6400,100,18778357.66901635,"[-0.8725835240268124, -0.6050285476007461, -0.3872586174856034, -0.1885042869751184, 0.09531600814730788, 0.33305491807202464, 0.6403745702859411, 1.0376174553979902]","[0.04662945930631335, 0.2816731637776485, 0.20648649349402398, 0.009699534248927555, 0.8589338636731806, 1.0239677950443584, 0.028866345175143387, 0.06432193365266711]",
T_max,100,None,QFAMES,6400,100,18778357.66901635,"[0.004407346410206901, 0.12390734641020702, 0.3234073464102072, 0.4344073464102066, -0.43359265358979315, -0.12359265358979309, -0.32359265358979283, -0.06409265358979294, 0.3879073464102068]","[0.0002954232021236125, 0.00023726976669524724, 0.000519269618289464, 5.196258711009927e-05, 0.05044299323616119, 0.009242313943424837, 0.00027500691224424667, 0.0005896997326581971]",[1 1 1 1 1 1 1 0 0]
T_max,100,Small,QPE,3,57.92448000540808,101.36784000946415,0.03921263494006946,0.39467544185184733,
T_max,100,Small,KQPE,3,57.92448000540808,101.36784000946415,0.0,0.43388807679191677,
T_max,100,Small,QMEGS,58,100,2353.2938186530414,"[-2.9005926535897926, -1.487092653589793, -0.018092653589793117, 0.4089073464102067, 2.1574073464102077, 2.3339073464102067, 2.5839073464102067, 3.076907346410207]","[1.0532045767978762, 2.577237269766695, 0.024980730381710448, 1.8340519625871106, 0.004442993236161371, 2.570257686056575, 2.2097249930877556, 3.201089699732658]",
T_max,100,Small,TSRHSE,6400,100,18778357.66901635,"[-3.64549832880333, -1.5389032147657855, -1.2441409971824249, -1.0090780252283105, 1.8020877637605164, 2.985842909170978, 3.8758452457913086, 6.627648796267295]","[0.5751899484363937, 0.9207856133593273, 1.3681996869685993, 2.662487525347881, 3.631848668449698, 6.613999135913664, 3.7516628924688575, 1.4147208614433342]",
T_max,100,Small,QFAMES,6400,100,18778357.66901635,"[-0.43409265358979315, -0.013592653589793223, 0.3234073464102072, 0.12340734641020702, -0.12359265358979309, -0.3860926535897929, -0.48159265358979286, 0.4334073464102066, -0.32359265358979283]","[0.00020457679787638794, 0.00023726976669524724, 0.00048073038171053684, 5.196258711009927e-05, 5.700676383852375e-05, 0.39974231394342463, 0.0007750069122442471, 0.0005896997326581971]",[1 1 0 0 0 0 0 0 0]
T_max,100,Big,QPE,3,57.92448000540808,101.36784000946415,0.006616793171076731,0.42727128362084005,
T_max,100,Big,KQPE,3,57.92448000540808,101.36784000946415,0.0,0.43388807679191677,
T_max,100,Big,QMEGS,58,100,2353.2938186530414,"[-2.841092653589793, -1.850092653589793, -0.43009265358979315, 0.4169073464102065, 1.5329073464102068, 1.5379073464102067, 1.5409073464102074, 1.8499073464102072]","[0.0037954232021236156, 1.5267372697666954, 0.016980730381710663, 1.2095519625871096, 1.863557006763839, 1.5272576860565756, 1.4137249930877553, 2.716910300267342]",
T_max,100,Big,TSRHSE,6400,100,18778357.66901635,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,100,Big,QFAMES,6400,100,18778357.66901635,"[-0.43359265358979315, -0.3865926535897929, -0.48109265358979286, -0.018092653589793117, -0.2930926535897926, -0.5740926535897932, -0.22709265358979308, 0.3249073464102072, -0.16409265358979314]","[0.0002954232021236125, 0.030262730233305002, 0.91498073038171, 0.0015519625871101006, 0.004442993236161371, 0.24074231394342482, 0.5107750069122442, 0.03991030026734185]",[1 1 1 0 0 0 0 0 0]
T_max,200,None,QPE,4,115.84896001081616,217.2168000202803,0.0,0.43388807679191677,
T_max,200,None,KQPE,4,115.84896001081616,217.21680002028032,0.0,0.43388807679191677,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-2.782092653589793, -1.645092653589793, -0.8915926535897931, -0.4328426535897932, 0.5271573464102068, 0.6596573464102071, 1.8859073464102067, 2.555407346410207]","[0.0010454232021235854, 0.5682372697666955, 0.09326926961828969, 0.33630196258711004, 2.768442993236161, 2.541757686056575, 1.7617249930877554, 1.5209103002673416]",
