test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[-0.3702402448465308, -4.2148359455373985e-18, 0.3702402448465306, -0.4746682171894517, 0.28030024207539145, -0.0674314126850891, 0.1308996938995747, 0.1308996938995747]",,
T_max,100,None,QPE,3,52.9480178334486,92.65903120853505,0.34561779564106965,0.02462244920546114,
T_max,100,None,KQPE,3,52.9480178334486,92.65903120853505,0.35600116289208883,0.014239081954441957,
T_max,100,None,QMEGS,58,100,2353.2938186530414,"[-3.148092653589793, -3.000092653589793, -2.808592653589793, -1.2280926535897931, -1.079592653589793, -0.37159265358979265, 0.9104073464102076, 1.1999073464102068]","[0.001352408743261868, 2.808592653589793, 0.540167101563677, 0.6049244364003414, 0.9196071043348153, 1.1606612409047041, 3.1309923474893675, 3.2789923474893676]",
T_max,100,None,TSRHSE,6400,100,18778357.66901635,"[-0.9454821992516067, -0.5928430347537282, -0.37746004368663755, -0.12316476964497217, 0.0645817576202604, 0.34821956600369464, 0.5521374523917412, 0.9355784483652327]","[0.007219798840106761, 0.0645817576202604, 0.022020678842835983, 0.11817481756427656, 0.2718372103163497, 0.05573335695988306, 0.8046787544656581, 1.0763818931511815]",
T_max,100,None,QFAMES,6400,100,18778357.66901635,"[0.1309073464102069, -0.06759265358979294, -0.0005926535897929925, 0.28040734641020726, 0.3704073464102071, -0.36959265358979265, -0.4750926535897931, 0.08190734641020708, 0.17740734641020706]","[0.0006475912567381337, 0.0005926535897929883, 0.0001671015636764972, 0.0004244364003413992, 0.00010710433481581072, 0.00016124090470383268, 7.652510632200071e-06, 0.04650765251063235]",[2 1 1 1 1 1 1 0 0]
T_max,100,Small,QPE,3,52.9480178334486,92.65903120853505,0.26373752817588914,0.10650271667064165,
T_max,100,Small,KQPE,3,52.9480178334486,92.65903120853505,0.35600116289208883,0.014239081954441957,
T_max,100,Small,QMEGS,58,100,2353.2938186530414,"[-1.5485926535897931, -0.771592653589793, -0.6985926535897933, -0.4970926535897931, -0.3900926535897931, -0.17259265358979337, 0.37690734641020646, 1.4949073464102067]","[0.01985240874326233, 0.6985926535897933, 0.006667101563675837, 0.02242443640034142, 1.2146071043348152, 0.10516124090470426, 0.9024923474893677, 1.679492347489368]",
T_max,100,Small,TSRHSE,6400,100,18778357.66901635,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,100,Small,QFAMES,6400,100,18778357.66901635,"[0.3689073464102071, 0.28140734641020715, 0.13140734641020724, -0.37059265358979265, -0.0010926535897929912, -0.06809265358979294, 0.17790734641020706, 0.234907346410207, 0.4179073464102068]","[0.0003524087432618672, 0.001092653589792987, 0.0013328984363235041, 0.7095755635996587, 0.0011071043348157006, 0.0006612409047038331, 0.0005076525106325336, 0.04700765251063235]",[1 1 1 0 0 0 0 0 0]
T_max,100,Big,QPE,3,52.9480178334486,92.65903120853505,0.2047006686629511,0.16553957618357967,
T_max,100,Big,KQPE,3,52.9480178334486,92.65903120853505,0.11866705429736293,0.2515731905491678,
T_max,100,Big,QMEGS,58,100,2353.2938186530414,"[-2.815092653589793, -2.1530926535897925, 0.28090734641020715, 0.3664073464102071, 0.48940734641020683, 1.0314073464102067, 1.3904073464102071, 2.0494073464102076]","[2.444852408743262, 1.3904073464102071, 0.0038328984363235064, 1.678424436400341, 0.0006071043348157001, 2.116838759095297, 0.3585076525106321, 0.900507652510632]",
T_max,100,Big,TSRHSE,6400,100,18778357.66901635,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,100,Big,QFAMES,6400,100,18778357.66901635,"[0.28140734641020715, 0.3679073464102071, 0.13240734641020724, 0.17790734641020706, 0.4179073464102065, 0.235407346410207, 0.08390734641020708, 0.5074073464102068, -0.004592653589793329]","[0.6056475912567378, 0.004592653589793325, 0.002332898436323505, 0.8925755635996582, 0.0011071043348157006, 0.24533875909529618, 0.0015076525106325345, 0.04699234748936762]",[1 1 1 0 0 0 0 0 0]
T_max,200,None,QPE,4,105.8960356668972,198.55506687543226,0.3585525045594821,0.011687740287048665,
T_max,200,None,KQPE,4,105.8960356668972,198.55506687543226,0.35600116289208883,0.014239081954441957,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-2.539842653589793, -2.356842653589793, -1.590592653589793, -0.3718426535897927, 0.2001573464102067, 0.7214073464102067, 0.9614073464102069, 2.6196573464102073]","[0.001602408743261896, 2.539842653589793, 0.35116710156367603, 1.1159244364003413, 0.6811071043348154, 2.2894112409047036, 0.06925765251063198, 2.4887576525106327]",
T_max,200,None,TSRHSE,6400,200,37556715.3380327,"[-0.5661109971962914, -0.3971702007485923, -0.20171393678429453, -0.07479354347962779, 0.11422313238299542, 0.2014761341454936, 0.38566739172398123, 0.5438203775722492]","[0.026929955902061486, 0.20171393678429453, 0.015427146877450615, 0.09144278000683975, 0.26352013549685777, 0.007362130794538679, 0.016676561516579286, 0.07057644024591889]",
T_max,200,None,QFAMES,6400,200,37556715.3380327,"[0.13090734641020685, 0.37040734641020706, -0.06734265358979294, -9.265358979304496e-05, -0.37009265358979315, -0.47459265358979313, 0.28015734641020673, 0.1071573464102065, 0.15465734641020715]","[0.00014759125673763362, 9.265358979304075e-05, 0.0001671015636764417, 7.556359965854575e-05, 0.00014289566518471686, 8.875909529616755e-05, 7.65251063214456e-06, 0.02374234748936821]",[2 1 1 1 1 1 1 0 0]
T_max,200,Small,QPE,4,105.8960356668972,198.55506687543226,0.26344086054014576,0.10679938430638503,
T_max,200,Small,KQPE,4,105.8960356668972,198.55506687543226,0.35600116289208883,0.014239081954441957,
T_max,200,Small,QMEGS,62,200,4994.089888132578,"[-1.8543426535897929, -1.0100926535897932, -0.3703426535897927, 0.08890734641020687, 0.11715734641020711, 0.36190734641020683, 1.1156573464102073, 2.2826573464102067]","[0.00010240874326189475, 2.2826573464102067, 0.008332898436323788, 0.5354244364003415, 0.8353571043348158, 1.7869112409047039, 0.01374234748936759, 0.04199234748936784]",
T_max,200,Small,TSRHSE,6400,200,37556715.3380327,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
