test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[-0.1433934302386369, -0.4301802907159107, 0.5735737209545476, 0.28678686047727375]",,
eps,0.5,None,QPE,4,87.63560920082658,164.31676725154983,0.14339343023863688,2.7755575615628914e-17,
eps,0.5,None,KQPE,3,43.81780460041329,76.68115805072325,0.1433934302386369,0.0,
eps,0.5,None,QMEGS,35,2,28.631177362874453,"[-0.6665926535897926, -0.291592653589793, 0.10840734641020777, 0.35840734641020777]","[0.2518007766488447, 0.13858763712611766, 1.2401663745443403, 0.07162048593293402]",
eps,0.5,None,TSRHSE,1600,2,23056.876730726988,"[-0.6665926535897926, -0.291592653589793, 0.10840734641020777, 0.35840734641020777]","[0.2518007766488447, 0.13858763712611766, 1.2401663745443403, 0.07162048593293402]",
eps,0.5,None,QFAMES,1600,2,23056.876730726988,"[0.05840734641020684, -2.5915926535897933, 2.808407346410208, 0.0, 0.0]","[0.1433934302386369, 0.4301802907159107, 2.2348336254556602, 0.2283795140670669]",[4 0 0 0 0]
eps,0.5,Small,QPE,4,87.63560920082658,164.31676725154983,0.2076336869855462,0.06424025674690931,
eps,0.5,Small,KQPE,3,43.81780460041329,76.68115805072325,0.1433934302386369,0.0,
eps,0.5,Small,QMEGS,35,2,28.631177362874453,"[-0.6665926535897926, -0.4165926535897926, -0.1915926535897925, 0.35840734641020777]","[0.04819922335115559, 0.013587637126118102, 1.2401663745443403, 0.07162048593293402]",
eps,0.5,Small,TSRHSE,1600,2,23056.876730726988,"[-0.6665926535897926, -0.4165926535897926, -0.1915926535897925, 0.35840734641020777]","[0.04819922335115559, 0.013587637126118102, 1.2401663745443403, 0.07162048593293402]",
eps,0.5,Small,QFAMES,1600,2,23056.876730726988,"[0.15840734641020693, -2.441592653589793, 2.6584073464102076, 0.0, 0.0]","[0.1433934302386369, 0.4301802907159107, 2.08483362545566, 0.12837951406706682]",[3 0 0 0 0]
eps,0.5,Big,QPE,4,87.63560920082658,164.31676725154983,0.34055939681676267,0.19716596657812577,
eps,0.5,Big,KQPE,3,43.81780460041329,76.68115805072325,0.4301802907159107,0.28678686047727375,
eps,0.5,Big,QMEGS,35,2,28.631177362874453,"[-0.6665926535897926, -0.4165926535897926, -0.291592653589793, 0.35840734641020777]","[0.14819922335115612, 0.013587637126118102, 1.2401663745443403, 0.07162048593293402]",
eps,0.5,Big,TSRHSE,1600,2,23056.876730726988,"[-0.6665926535897926, -0.4165926535897926, -0.291592653589793, 0.35840734641020777]","[0.14819922335115612, 0.013587637126118102, 1.2401663745443403, 0.07162048593293402]",
eps,0.5,Big,QFAMES,1600,2,23056.876730726988,"[-0.0665926535897926, -2.5915926535897933, 2.433407346410208, 0.0, 0.0]","[0.0768007766488443, 0.4301802907159107, 1.8598336254556602, 0.28678686047727375]",[1 1 0 0 0]
eps,0.1,None,QPE,5,175.27121840165316,339.58798565320296,0.14339343023863688,2.7755575615628914e-17,
eps,0.1,None,KQPE,6,350.5424368033063,690.1304224565092,0.1433934302386369,0.0,
eps,0.1,None,QMEGS,44,10,182.46844073539296,"[-0.14659265358979312, -0.14159265358979267, -0.0915926535897933, -0.04159265358979347]","[0.0018007766488442323, 0.28358763712611756, 0.6651663745443409, 0.3283795140670672]",
eps,0.1,None,TSRHSE,1600,10,115284.38365363494,"[-1.4343445195992324, -0.31515039643386866, 0.464980912388662, 1.3506436192010496]","[1.2909510893605955, 0.11502989428204202, 0.1085928085658856, 1.0638567587237757]",
