test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[-0.1433934302386369, -0.4301802907159107, 0.5735737209545476, 0.28678686047727375]",,
T_max,100,None,QPE,4,87.63560920082658,164.31676725154983,0.14339343023863688,2.7755575615628914e-17,
T_max,100,None,KQPE,4,87.63560920082658,164.31676725154983,0.1433934302386369,0.0,
T_max,100,None,QMEGS,58,100,2353.2938186530414,"[-2.061592653589793, -1.003092653589793, -0.14309265358979312, 2.9509073464102076]","[0.00030077664884378685, 0.5729123628738824, 2.37733362545566, 2.3483795140670667]",
T_max,100,None,TSRHSE,1600,100,1152843.8365363488,"[-0.45347407176187904, -0.12877795545421905, 0.27840423219850474, 0.5673436657901866]","[0.014615474784417853, 0.023293781045968354, 0.006230055164361037, 0.008382628278769011]",
T_max,100,None,QFAMES,1600,100,1152843.8365363488,"[-0.14309265358979312, 0.28690734641020704, 0.5734073464102067, -0.43059265358979315, -0.19159265358979327]","[0.00030077664884378685, 0.00041236287388246584, 0.00016637454434087484, 0.00012048593293328969]",[1 1 1 1 0]
T_max,100,Small,QPE,4,87.63560920082658,164.31676725154983,0.21007137529960307,0.06667794506096617,
T_max,100,Small,KQPE,4,87.63560920082658,164.31676725154983,0.1433934302386369,0.0,
T_max,100,Small,QMEGS,58,100,2353.2938186530414,"[-0.13909265358979322, 0.7189073464102071, 2.0399073464102067, 2.9754073464102073]","[0.004300776648843679, 3.405587637126118, 0.14533362545565953, 1.753120485932933]",
T_max,100,Small,TSRHSE,1600,100,1152843.8365363488,"[-1.5997860828192976, -0.5561499608887901, 0.2189726926199635, 33.595009637359745]","[1.4563926525806608, 0.1259696701728794, 33.021435916405196, 0.06781416785731026]",
T_max,100,Small,QFAMES,1600,100,1152843.8365363488,"[-0.14359265358979312, 0.5734073464102067, 0.28790734641020704, -0.43109265358979315, -0.19359265358979327]","[0.0001992233511562136, 0.0009123628738824663, 0.00016637454434087484, 0.0011204859329332906]",[1 1 1 1 0]
T_max,100,Big,QPE,4,87.63560920082658,164.31676725154983,0.34600834716583084,0.20261491692719394,
T_max,100,Big,KQPE,4,87.63560920082658,164.31676725154983,0.4301802907159107,0.28678686047727375,
T_max,100,Big,QMEGS,58,100,2353.2938186530414,"[-2.1580926535897924, -0.4275926535897928, -0.12909265358979344, 2.9614073464102075]","[0.014300776648843466, 0.00258763712611787, 2.38783362545566, 2.444879514067066]",
T_max,100,Big,TSRHSE,1600,100,1152843.8365363488,[],"[nan, nan, nan, nan]",
T_max,100,Big,QFAMES,1600,100,1152843.8365363488,"[-0.43009265358979315, 0.28690734641020704, -0.47859265358979297, 0.3354073464102073, 0.18040734641020717]","[0.3238007766488441, 8.76371261175346e-05, 0.2381663745443403, 0.00012048593293328969]",[1 1 0 0 0]
